id,name,formula,crystal_system,hardness_min,hardness_max,density_min,density_max,cleavage,transparency,clean_formula,industry_application,mend_atomic_mass,mend_electronegativity,mend_covalent_radius,mend_ionization_energy,mend_melting_point,mend_dipole_polarizability,rdkit_exact_mw,rdkit_valence_electrons,rdkit_heavy_atoms,avg_hardness,avg_density,element_O_count,element_H_count,element_Si_count,element_Ca_count,element_Al_count,element_Na_count,element_S_count,element_Fe_count,element_P_count,element_Mg_count,element_Mn_count,element_As_count,element_Cu_count,element_C_count,element_K_count,total_unique_elements,total_atom_count,formula_weighted_mass,formula_weighted_en,parsed_elements,element_list,cluster_kmeans,cluster_hierarchical,pca_1,pca_2,tsne_1,tsne_2
1,Abelsonite,Ni(C<sub>31</sub>H<sub>32</sub>N<sub>4</sub>),Triclinic,2.0,3.0,1.33,1.48,Probable on <mi>{11_1}</mi>.,Translucent,Ni(C31H32N4),Energy,7.637035294117647,2.4047058823529412,55.044117647058826,12.499929899859763,65.6332432432432,8.428345882352941,518.198039924001,186.0,36.0,2.5,1.405,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,4,68.0,7.636705882352942,2.4047058823529412,"{'Ni': 1.0, 'C': 31.0, 'H': 32.0, 'N': 4.0}","C,H,N,Ni",2,0,1.7621049240826523,-1.04509420163224,25.768778,14.129276
2,Abenakiite-(Ce),Na<sub>26</sub>Ce<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(SO<sub>2</sub>)O,Trigonal,4.0,5.0,3.21,3.21,{0001},Transparent,Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O,Chemical,25.481101519894736,2.5442105263157893,95.5438596491228,10.653833332982456,293.3170693069307,54.86929824561403,2902.522454500002,512.0,114.0,4.5,3.21,28.0,0.0,6.0,0.0,0.0,26.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7,69.0,30.870289855072468,2.115072463768116,"{'Na': 26.0, 'Ce': 6.0, 'Si': 6.0, 'O': 28.0, 'P': 1.0, 'C': 1.0, 'S': 1.0}","C,Ce,Na,O,P,S,Si",2,0,-1.1422073160621564,-0.148117285153965,-10.769903,-51.01024
3,Abernathyite,K(UO<sub>2</sub>)(AsO<sub>4</sub>)&middot;3H<sub>2</sub>O,Tetragonal,2.5,3.0,3.32,3.32,Perfect on {001},Transparent,K(UO2)(AsO4)3H2O,Energy,33.813317954545454,2.9572727272727275,79.0,12.334911724063817,266.3013636363636,27.14610090909091,743.7186537439997,112.0,20.0,2.75,3.32,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5,12.0,38.83883333333333,2.7383333333333333,"{'K': 1.0, 'U': 1.0, 'O': 7.0, 'As': 1.0, 'H': 2.0}","As,H,K,O,U",2,0,0.6400774410362162,-0.3793758959756608,37.44785,42.641563
4,Abhurite,Sn<sub>21</sub>Cl<sub>16</sub>(OH)<sub>14</sub>O<sub>6</sub>,Trigonal,2.0,2.0,4.42,4.42,Unknown,Transparent,Sn21Cl16(OH)14O6,Electronics,47.805661971830986,2.694647887323943,87.77464788732394,11.611881554870816,80.58919999999998,21.34788084507042,3411.4555744280024,330.0,57.0,2.0,4.42,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,45.0,70.51373333333333,2.6222222222222222,"{'Sn': 21.0, 'Cl': 16.0, 'O': 7.0, 'H': 1.0}","Cl,H,O,Sn",2,0,-0.683033650446368,0.21864296181614368,-11.30608,44.402164
10,Acanthite,Ag<sub>2</sub>S,Monoclinic,2.0,2.5,7.2,7.4,Unknown,Opaque,Ag2S,Electronics,82.5988,2.1466666666666665,119.66666666666669,8.504159333333334,1234.9299999999998,43.13333333333333,245.782265,28.0,3.0,2.25,7.300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,82.60333333333334,2.1466666666666665,"{'Ag': 2.0, 'S': 1.0}","Ag,S",0,1,-6.027193496876108,1.579521510850346,-68.222305,20.280487
18,Actinolite,&#9723;Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sub>0.5-2.5</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,Monoclinic,5.0,6.0,3.03,3.24,on {110},"Transparent,Translucent",Ca2(Mg4.2.5Fe0.2.5)Si8O22(OH)2,Other,,,,,,,,,,5.5,3.135,23.0,1.0,8.0,2.0,0.0,0.0,0.0,0.2,0.0,4.2,0.0,0.0,0.0,0.0,0.0,6,38.4,20.498958333333334,2.7184375000000003,"{'Ca': 2.0, 'Mg': 4.2, 'Fe': 0.2, 'Si': 8.0, 'O': 23.0, 'H': 1.0}","Ca,Fe,H,Mg,O,Si",2,0,0.5804115495052127,-0.5867731038846495,-4.480984,-1.1893702
19,Acuminite,Sr[AlF<sub>4</sub>(OH)(H<sub>2</sub>O)],Monoclinic,3.5,3.5,3.295,3.295,on {001},Transparent,Sr[AlF4(OH)(H2O)],Construction,20.510650104727272,2.9054545454545457,71.72727272727273,13.58212093173691,213.47572727272728,26.73466636363636,225.894067946,48.0,8.0,3.5,3.295,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,11.0,20.51127272727273,2.9054545454545457,"{'Sr': 1.0, 'Al': 1.0, 'F': 4.0, 'O': 2.0, 'H': 3.0}","Al,F,H,O,Sr",2,0,1.67795937303152,-0.8118741963715704,39.096107,-24.089722
21,Adamite,Zn<sub>2</sub>(AsO<sub>4</sub>)(OH),Orthorhombic,3.5,3.5,4.32,4.48,"on {101}, good; on {010}, poor.","Transparent,Translucent",Zn2(AsO4)(OH),Other,31.85384388888889,2.7644444444444445,78.22222222222223,12.25173928885578,306.81044444444444,15.371901111111113,283.76227903200004,40.0,8.0,3.5,4.4,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,9.0,31.85422222222222,2.7644444444444445,"{'Zn': 2.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}","As,H,O,Zn",2,0,0.36392871973792357,-0.35493443426410526,2.1745503,22.603924
23,Adelite,CaMg(AsO<sub>4</sub>)(OH),Orthorhombic,5.0,5.0,3.71,3.76,Unknown,"Transparent,Translucent",CaMg(AsO4)(OH),Other,24.47862166666667,2.654444444444444,86.44444444444444,11.69296122996689,379.36,32.55634555555556,219.851627312,40.0,8.0,5.0,3.735,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5,9.0,24.47977777777778,2.6544444444444446,"{'Ca': 1.0, 'Mg': 1.0, 'As': 1.0, 'O': 5.0, 'H': 1.0}","As,Ca,H,Mg,O",2,0,-0.18923766240311543,-0.4075236313292615,-13.753991,-0.6131902
27,Admontite,MgB<sub>6</sub>O<sub>10</sub>&middot;7H<sub>2</sub>O,Monoclinic,2.0,3.0,1.82,1.82,Unknown,"Transparent,Translucent",MgB6O107H2O,Construction,15.54763247863248,3.3288034188034183,64.24786324786325,13.293856061533369,178.8282905982906,6.629181367521367,1819.5073031239965,670.0,115.0,2.5,1.82,108.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,117.0,15.54859829059829,3.3288034188034183,"{'Mg': 1.0, 'B': 6.0, 'O': 108.0, 'H': 2.0}","B,H,Mg,O",2,0,3.2256523049891808,-0.8502552572371305,64.80513,-13.699583
