feature,importance,task,model
mend_melting_point,0.2388001085137312,hardness_regression,RF
mend_ionization_energy,0.1144883754615639,hardness_regression,RF
formula_weighted_mass,0.09109802424366369,hardness_regression,RF
mend_covalent_radius,0.07303074720126904,hardness_regression,RF
mend_dipole_polarizability,0.0580772812245767,hardness_regression,RF
mend_electronegativity,0.05794540025410411,hardness_regression,RF
formula_weighted_en,0.046524957751017115,hardness_regression,RF
total_atom_count,0.043799602913959144,hardness_regression,RF
mend_atomic_mass,0.03474456941690865,hardness_regression,RF
rdkit_exact_mw,0.029928342375108018,hardness_regression,RF
rdkit_valence_electrons,0.019856623208648512,hardness_regression,RF
total_unique_elements,0.017167535372072558,hardness_regression,RF
rdkit_heavy_atoms,0.0157066658202478,hardness_regression,RF
x1_{001},0.010500843288098883,hardness_regression,RF
x3_Construction,0.010451335025758235,hardness_regression,RF
x3_Electronics,0.009575154273906114,hardness_regression,RF
x1_Unknown,0.0063970067137813745,hardness_regression,RF
x0_Monoclinic,0.006043274693136376,hardness_regression,RF
x3_Energy,0.004870559836106885,hardness_regression,RF
x0_Tetragonal,0.004663912216032779,hardness_regression,RF
"x2_Transparent,Translucent",0.004489888878757003,hardness_regression,RF
x2_Translucent,0.004424294829644432,hardness_regression,RF
x0_Triclinic,0.004391687203152122,hardness_regression,RF
x0_Orthorhombic,0.004349085829125861,hardness_regression,RF
x1_on {001},0.003526100013310408,hardness_regression,RF
x2_Transparent,0.0033977873675317674,hardness_regression,RF
x0_Trigonal,0.00328167289699487,hardness_regression,RF
x0_Cubic,0.0032152644463671895,hardness_regression,RF
x0_Hexagonal,0.003138141407382038,hardness_regression,RF
x2_Opaque,0.003075891019993678,hardness_regression,RF
x3_Other,0.0029092725884303765,hardness_regression,RF
"x1_Good on {001}, may be parting",0.0026487495139375034,hardness_regression,RF
x2_Unknown,0.0025535260659882,hardness_regression,RF
x0_Unknown,0.002451477208440979,hardness_regression,RF
x3_Chemical,0.0020447786637119492,hardness_regression,RF
x1_(001),0.0018112824149142156,hardness_regression,RF
"x2_Translucent,Opaque",0.0015287385123414331,hardness_regression,RF
"x2_Transparent,Translucent,Opaque",0.0011457126106116334,hardness_regression,RF
x1_Good on {010},0.0010862305720456408,hardness_regression,RF
x1_basal cleavage {0001},0.0010606267196297417,hardness_regression,RF
x1_{100},0.0009191201122977705,hardness_regression,RF
x1_{110},0.0008528168840524187,hardness_regression,RF
"x1_One direction, good",0.0007931747702817075,hardness_regression,RF
x1_on (001),0.0007847699170627714,hardness_regression,RF
x1_(not reported),0.0007785874344437143,hardness_regression,RF
x1_{001} perfect; {100} and {010} poor.,0.0007758832817160227,hardness_regression,RF
x1_{0001},0.0007520713285738204,hardness_regression,RF
"x1_Micaceous (perfect) on {001}; on <mi>{_401}</mi> and {010}, distinct.",0.0006883903178563367,hardness_regression,RF
x1_On {0001}; also indistinct cleavage (or parting ?) parallel to a rhombohedron.,0.0006788860693066534,hardness_regression,RF
